transaction_id,timestamp,category,description,amount,type
TXN1064,2026-04-28 11:45:57,Utilities,Wi-Fi Broadband Bill,799.00,debit
TXN1065,2026-04-29 08:35:12,Transport,Auto Rickshaw Fare,70.00,debit
TXN1066,2026-04-30 19:10:45,Groceries,Local Market Vegetables,280.00,debit
TXN1067,2026-05-01 10:00:00,Salary,Monthly Paycheck,45000.00,credit
TXN1068,2026-05-01 18:15:30,Entertainment,Netflix Subscription,649.00,debit
TXN1069,2026-05-02 08:12:44,Transport,Uber Ride,360.00,debit
TXN1070,2026-05-02 13:20:15,Food,McDonalds Lunch,310.00,debit
TXN1071,2026-05-03 16:55:22,Groceries,Zepto Delivery,510.00,debit
TXN1072,2026-05-04 11:10:03,Food,Local Tea & Snacks,50.00,debit
TXN1073,2026-05-05 19:40:51,Shopping,Ajio Apparel,2200.00,debit
TXN1074,2026-05-06 14:25:38,Food,Cafe Coffee Day,240.00,debit
TXN1075,2026-05-07 08:50:19,Transport,Auto Rickshaw Fare,100.00,debit
TXN1076,2026-05-08 17:15:12,Utilities,Mobile Recharge,299.00,debit
TXN1077,2026-05-09 20:30:44,Food,Swiggy Dinner,580.00,debit
TXN1078,2026-05-10 11:15:22,Groceries,Supermarket Grocery Run,2890.00,debit
TXN1079,2026-05-11 15:45:01,Shopping,Amazon India Order,1150.00,debit
TXN1080,2026-05-12 09:10:14,Transport,Uber Ride,390.00,debit
TXN1081,2026-05-12 18:05:00,Entertainment,Spotify Premium,119.00,debit
TXN1082,2026-05-13 13:15:33,Food,Subway Sandwich,270.00,debit
TXN1083,2026-05-14 16:30:12,Transfer,Sent to Friend,400.00,debit
TXN1084,2026-05-15 21:15:55,Entertainment,Movie Tickets BookMyShow,720.00,debit
TXN1085,2026-05-16 10:20:41,Food,Bakery Items,160.00,debit
TXN1086,2026-05-17 14:45:19,Transport,Auto Rickshaw Fare,115.00,debit
TXN1087,2026-05-18 12:40:52,Food,Restaurant Lunch,1680.00,debit
TXN1088,2026-05-19 08:48:11,Transport,Metro Smartcard Topup,500.00,debit
TXN1089,2026-05-20 17:12:30,Groceries,Blinkit Delivery,620.00,debit
TXN1090,2026-05-21 19:35:44,Shopping,Flipkart Purchase,950.00,debit
TXN1091,2026-05-22 11:30:15,Food,College Canteen Lunch,105.00,debit
TXN1092,2026-05-22 15:22:04,Utilities,Electricity Bill,2450.00,debit
TXN1093,2026-05-23 09:05:11,Transport,Uber Ride,320.00,debit
TXN1094,2026-05-23 20:15:33,Food,Zomato Pizza Order,690.00,debit
TXN1095,2025-12-15 14:30:22,Shopping,Pitshirts Full-Sleeve Polo,1199.00,debit
TXN1096,2025-12-24 18:45:00,Groceries,Local Vendor Kimchi & Broth,450.00,debit
TXN1097,2026-01-10 11:15:45,Shopping,AJIO Coffee-Colored Pants,1499.00,debit
TXN1098,2026-01-28 16:20:11,Sports,THP Jump Training Subscription,2500.00,debit
TXN1099,2026-02-05 07:45:00,Transport,Mumbai to Delhi Train Ticket,1850.00,debit
TXN1100,2026-02-12 19:30:22,Food,Dalhousie Local Cafe Dinner,850.00,debit
